content_type,country,date_added,release_year,rating,duration,genres,duration_int,duration_type
1,9,4969.0,586,10,2 Season,749,0.003215434083601286,0
0,807,4969.0,586,10,91 min,1597,0.28938906752411575,2
0,75,4969.0,1141,1,90 min,595,0.28617363344051444,2
1,47,4969.0,586,10,3 Season,120,0.006430868167202573,0
0,2805,4938.0,1141,10,97 min,818,0.30868167202572344,2
1,2805,4938.0,586,6,2 Season,386,0.003215434083601286,0
1,412,4938.0,586,5,1 Season,248,0.0,0
1,10,4938.0,586,10,1 Season,120,0.0,0
1,807,4938.0,1024,6,2 Season,386,0.003215434083601286,0
0,2805,4938.0,586,10,80 min,818,0.25401929260450157,2
1,807,4908.0,586,9,1 Season,220,0.0,0
0,807,4908.0,950,10,117 min,1597,0.3729903536977492,2
1,189,4908.0,891,5,2 Season,386,0.003215434083601286,0
0,968,4877.0,1022,9,128 min,857,0.4083601286173633,2
1,2805,4877.0,586,7,5 Season,386,0.012861736334405145,0
0,2805,4847.0,1141,0,90 min,595,0.28617363344051444,2
1,86,4816.0,586,7,1 Season,386,0.0,0
1,145,4816.0,586,10,5 Season,399,0.012861736334405145,0
1,807,4816.0,586,10,1 Season,220,0.0,0
1,1,4816.0,586,5,1 Season,386,0.0,0
0,807,4816.0,586,2,119 min,1597,0.37942122186495175,2
0,807,4788.0,586,8,110 min,1206,0.3504823151125402,2
0,968,4788.0,22,9,143 min,1597,0.4565916398713826,2
0,1,4788.0,152,1,119 min,1597,0.37942122186495175,2
0,968,4788.0,554,8,114 min,1206,0.3633440514469453,2
0,75,4788.0,586,2,94 min,818,0.29903536977491957,2
0,968,4788.0,1022,9,106 min,1597,0.337620578778135,2
0,807,4788.0,950,10,99 min,1597,0.315112540192926,2
1,86,4788.0,586,6,1 Season,386,0.0,0
1,807,4788.0,1024,9,1 Season,749,0.0,0
0,1,4788.0,61,3,118 min,65,0.37620578778135044,2
1,807,4788.0,228,6,1 Season,386,0.0,0
1,189,4788.0,279,6,3 Season,386,0.006430868167202573,0
1,2805,4788.0,586,10,1 Season,399,0.0,0
0,968,4788.0,950,9,115 min,1597,0.36655948553054657,2
0,73,4757.0,64,1,95 min,595,0.3022508038585209,2
0,807,4757.0,1022,2,115 min,1597,0.36655948553054657,2
0,13,4757.0,80,2,108 min,1597,0.34405144694533757,2
0,807,4757.0,586,5,63 min,595,0.19935691318327975,2
0,2805,4757.0,17,3,117 min,857,0.3729903536977492,2
1,807,4757.0,586,10,1 Season,749,0.0,0
0,4,4757.0,554,3,121 min,857,0.3858520900321543,2
0,14,4757.0,22,2,142 min,857,0.4533762057877813,2
0,1,4757.0,28,3,113 min,857,0.360128617363344,2
0,1,4757.0,61,3,154 min,1597,0.49196141479099675,2
0,13,4757.0,45,1,95 min,857,0.3022508038585209,2
0,2805,4757.0,193,2,108 min,1597,0.34405144694533757,2
0,2805,4757.0,16,3,120 min,80,0.382636655948553,2
0,1,4757.0,348,10,100 min,1597,0.3183279742765273,2
0,2,4757.0,554,3,82 min,857,0.26045016077170413,2
0,13,4757.0,88,2,124 min,1597,0.3954983922829582,2
0,2805,4757.0,184,2,114 min,857,0.3633440514469453,2
0,2805,4757.0,22,3,104 min,1206,0.33118971061093244,2
0,2805,4757.0,17,3,94 min,1206,0.29903536977491957,2
0,2805,4757.0,22,3,94 min,1206,0.29903536977491957,2
1,807,4757.0,586,8,1 Season,120,0.0,0
1,807,4757.0,950,9,1 Season,16,0.0,0
0,2805,4757.0,36,3,93 min,857,0.2958199356913183,2
0,2805,4757.0,39,3,97 min,65,0.30868167202572344,2
0,14,4757.0,80,9,109 min,857,0.3472668810289389,2
0,2805,4757.0,891,10,88 min,1206,0.2797427652733119,2
1,15,4757.0,891,5,2 Season,386,0.003215434083601286,0
1,245,4757.0,554,10,3 Season,176,0.006430868167202573,0
0,75,4757.0,13,1,101 min,857,0.32154340836012857,2
0,2805,4757.0,193,1,105 min,1206,0.33440514469453375,2
0,180,4757.0,1141,9,102 min,13,0.3247588424437299,2
0,2805,4757.0,61,2,101 min,1206,0.32154340836012857,2
0,53,4757.0,193,10,103 min,1206,0.3279742765273312,2
1,2805,4757.0,23,8,4 Season,120,0.00964630225080386,0
0,2805,4757.0,24,2,106 min,1206,0.337620578778135,2
0,2,4757.0,1022,2,118 min,1597,0.37620578778135044,2
0,2805,4757.0,61,3,86 min,1206,0.2733118971061093,2
0,2805,4757.0,39,2,121 min,857,0.3858520900321543,2
1,807,4757.0,1024,10,1 Season,399,0.0,0
0,4,4757.0,12,3,229 min,80,0.7331189710610932,2
0,73,4757.0,136,1,76 min,595,0.24115755627009647,2
0,2805,4757.0,45,1,95 min,857,0.3022508038585209,2
0,2805,4757.0,96,2,98 min,857,0.31189710610932475,2
0,2805,4757.0,38,3,89 min,818,0.28295819935691313,2
0,2805,4757.0,1022,2,120 min,1597,0.382636655948553,2
0,17,4757.0,61,2,110 min,1206,0.3504823151125402,2
0,2805,4757.0,554,2,83 min,818,0.26366559485530544,2
0,2805,4757.0,61,3,121 min,857,0.3858520900321543,2
0,2805,4757.0,11,3,105 min,1597,0.33440514469453375,2
0,2805,4757.0,13,2,94 min,857,0.29903536977491957,2
0,75,4757.0,1,9,156 min,857,0.4983922829581993,2
0,2805,4757.0,348,3,112 min,857,0.35691318327974275,2
0,2805,4757.0,24,2,95 min,1206,0.3022508038585209,2
0,807,4757.0,37,2,107 min,1206,0.3408360128617363,2
1,807,4757.0,586,9,1 Season,220,0.0,0
0,2805,4757.0,136,2,114 min,1206,0.3633440514469453,2
0,2805,4991.0,28,3,129 min,857,0.4115755627009646,2
1,2805,4991.0,586,8,1 Season,120,0.0,0
0,807,4991.0,586,10,86 min,818,0.2733118971061093,2
1,807,4989.0,586,9,1 Season,749,0.0,0
1,807,4989.0,586,7,1 Season,749,0.0,0
0,124,4988.0,136,10,97 min,1206,0.30868167202572344,2
1,807,4988.0,950,5,2 Season,386,0.003215434083601286,0
0,968,4988.0,586,9,125 min,1597,0.39871382636655944,2
0,8,4988.0,1022,3,107 min,1597,0.3408360128617363,2
0,968,4987.0,136,9,127 min,857,0.405144694533762,2
1,1,4987.0,586,10,1 Season,749,0.0,0
1,807,4987.0,51,10,1 Season,749,0.0,0
0,968,4987.0,136,9,128 min,1206,0.4083601286173633,2
0,807,4987.0,586,9,92 min,1206,0.292604501607717,2
1,807,4987.0,586,6,1 Season,386,0.0,0
1,95,4987.0,586,10,1 Season,399,0.0,0
0,968,4987.0,96,9,135 min,1206,0.4308681672025723,2
0,968,4987.0,64,9,124 min,857,0.3954983922829582,2
0,968,4987.0,61,9,136 min,1597,0.4340836012861736,2
0,968,4987.0,80,10,165 min,1206,0.527331189710611,2
0,968,4987.0,891,10,124 min,1206,0.3954983922829582,2
0,968,4987.0,228,10,136 min,1206,0.4340836012861736,2
0,968,4987.0,45,9,150 min,1206,0.4790996784565916,2
0,968,4987.0,193,10,112 min,1597,0.35691318327974275,2
0,968,4987.0,136,9,119 min,857,0.37942122186495175,2
0,968,4987.0,193,9,133 min,1597,0.42443729903536975,2
0,968,4987.0,279,9,142 min,1597,0.4533762057877813,2
0,968,4987.0,184,10,93 min,271,0.2958199356913183,2
0,968,4987.0,348,10,113 min,271,0.360128617363344,2
1,10,4987.0,891,10,2 Season,749,0.003215434083601286,0
1,807,4987.0,586,8,3 Season,220,0.006430868167202573,0
0,807,4987.0,586,3,124 min,857,0.3954983922829582,2
0,968,4987.0,88,10,116 min,857,0.3697749196141479,2
0,968,4987.0,184,9,106 min,1206,0.337620578778135,2
0,968,4987.0,184,9,145 min,1206,0.4630225080385852,2
1,807,4987.0,586,9,1 Season,120,0.0,0
1,245,4986.0,586,9,1 Season,176,0.0,0
1,2805,4986.0,586,8,4 Season,386,0.00964630225080386,0
0,807,4985.0,586,9,93 min,818,0.2958199356913183,2
1,807,4985.0,586,10,1 Season,399,0.0,0
1,807,4985.0,586,10,1 Season,399,0.0,0
1,807,4985.0,586,9,1 Season,749,0.0,0
1,807,4985.0,586,10,1 Season,749,0.0,0
1,807,4985.0,586,10,1 Season,749,0.0,0
0,2805,4985.0,950,10,95 min,1597,0.3022508038585209,2
0,47,4985.0,348,3,108 min,857,0.34405144694533757,2
0,2805,4985.0,950,10,90 min,271,0.28617363344051444,2
0,807,4985.0,586,10,86 min,818,0.2733118971061093,2
0,2805,4985.0,586,1,92 min,595,0.292604501607717,2
1,2805,4985.0,1024,7,3 Season,120,0.006430868167202573,0
0,412,4984.0,586,10,82 min,818,0.26045016077170413,2
1,807,4984.0,586,5,1 Season,386,0.0,0
0,807,4984.0,586,8,70 min,818,0.22186495176848875,2
0,807,4983.0,586,9,122 min,271,0.3890675241157556,2
0,807,4983.0,586,10,84 min,857,0.26688102893890675,2
1,2805,4981.0,586,9,3 Season,67,0.006430868167202573,0
1,807,4980.0,586,10,1 Season,749,0.0,0
1,807,4980.0,586,10,1 Season,749,0.0,0
0,807,4980.0,1141,9,96 min,1597,0.3054662379421222,2
1,807,4980.0,586,8,1 Season,220,0.0,0
0,807,4980.0,586,10,115 min,1597,0.36655948553054657,2
0,2805,4980.0,586,3,110 min,857,0.3504823151125402,2
1,807,4980.0,586,10,1 Season,120,0.0,0
0,807,4980.0,586,6,88 min,595,0.2797427652733119,2
0,807,4979.0,950,8,102 min,1597,0.3247588424437299,2
0,2805,4979.0,184,2,91 min,1597,0.28938906752411575,2
0,807,4978.0,586,10,105 min,128,0.33440514469453375,2
0,968,4978.0,25,9,135 min,1597,0.4308681672025723,2
1,2805,4978.0,586,5,5 Season,386,0.012861736334405145,0
0,807,4978.0,586,10,86 min,818,0.2733118971061093,2
0,807,4978.0,950,9,140 min,1597,0.44694533762057875,2
0,807,4978.0,554,9,133 min,1597,0.42443729903536975,2
0,807,4978.0,950,10,92 min,1206,0.292604501607717,2
0,1,4978.0,1141,8,82 min,1206,0.26045016077170413,2
1,807,4978.0,950,10,1 Season,399,0.0,0
0,807,4978.0,586,9,97 min,1206,0.30868167202572344,2
0,807,4978.0,586,10,78 min,818,0.24758842443729903,2
1,2805,4976.0,891,5,2 Season,386,0.003215434083601286,0
0,2805,4976.0,348,3,94 min,1206,0.29903536977491957,2
1,245,4975.0,1141,9,1 Season,176,0.0,0
1,968,4975.0,950,10,1 Season,220,0.0,0
0,1,4975.0,28,3,121 min,80,0.3858520900321543,2
0,807,4975.0,950,10,97 min,1597,0.30868167202572344,2
1,45,4975.0,554,6,2 Season,386,0.003215434083601286,0
0,1,4973.0,586,10,110 min,857,0.3504823151125402,2
1,2805,4973.0,586,10,1 Season,67,0.0,0
1,2805,4973.0,586,6,5 Season,386,0.012861736334405145,0
1,124,4973.0,586,10,1 Season,399,0.0,0
1,2805,4973.0,586,10,7 Season,120,0.01929260450160772,0
1,56,4973.0,586,10,1 Season,399,0.0,0
1,145,4973.0,586,10,2 Season,749,0.003215434083601286,0
1,2,5090.0,586,9,1 Season,749,0.0,0
0,35,5090.0,586,10,64 min,332,0.20257234726688103,2
0,16,5090.0,586,8,59 min,857,0.1864951768488746,2
1,2805,5060.0,586,8,1 Season,120,0.0,0
0,95,5060.0,891,9,101 min,1206,0.32154340836012857,2
0,110,5060.0,950,10,127 min,1597,0.405144694533762,2
0,1,5060.0,586,2,90 min,818,0.28617363344051444,2
0,75,5060.0,586,9,114 min,1206,0.3633440514469453,2
0,1,5060.0,279,3,108 min,1597,0.34405144694533757,2
1,2805,5029.0,586,5,2 Season,386,0.003215434083601286,0
1,807,5029.0,586,9,1 Season,749,0.0,0
1,35,5029.0,1141,10,1 Season,399,0.0,0
1,189,5029.0,1024,9,1 Season,749,0.0,0
0,2805,5029.0,586,10,70 min,818,0.22186495176848875,2
1,245,4999.0,586,9,1 Season,176,0.0,0
0,412,4968.0,228,2,98 min,1206,0.31189710610932475,2
0,30,4968.0,586,10,86 min,1206,0.2733118971061093,2
0,807,4937.0,950,8,139 min,128,0.44372990353697744,2
0,2805,4937.0,586,2,111 min,857,0.35369774919614144,2
1,5,4907.0,586,10,1 Season,40,0.0,0
1,968,4907.0,586,10,1 Season,16,0.0,0
0,95,4907.0,950,10,115 min,1206,0.36655948553054657,2
0,124,4907.0,586,9,102 min,271,0.3247588424437299,2
0,45,4907.0,586,1,100 min,595,0.3183279742765273,2
0,968,4876.0,279,9,135 min,857,0.4308681672025723,2
0,77,4876.0,279,10,69 min,818,0.21864951768488747,2
0,56,4876.0,10,10,95 min,1206,0.3022508038585209,2
0,412,4876.0,586,9,97 min,818,0.30868167202572344,2
0,8,4876.0,28,10,124 min,80,0.3954983922829582,2
0,95,4846.0,891,8,118 min,1597,0.37620578778135044,2
0,2805,4846.0,586,10,115 min,271,0.36655948553054657,2
0,2805,4846.0,228,10,115 min,54,0.36655948553054657,2
1,807,4846.0,586,8,3 Season,120,0.006430868167202573,0
1,2805,4846.0,586,10,1 Season,399,0.0,0
1,110,4846.0,586,10,2 Season,749,0.003215434083601286,0
1,2805,4846.0,586,10,1 Season,120,0.0,0
1,75,4815.0,152,9,1 Season,749,0.0,0
0,2805,4815.0,25,3,104 min,1597,0.33118971061093244,2
0,2,4815.0,193,10,106 min,1597,0.337620578778135,2
1,75,4815.0,184,9,1 Season,749,0.0,0
0,2805,4815.0,586,2,102 min,818,0.3247588424437299,2
0,807,4815.0,586,10,97 min,818,0.30868167202572344,2
1,75,4815.0,80,9,1 Season,749,0.0,0
1,807,4815.0,586,8,1 Season,220,0.0,0
1,75,4815.0,279,9,1 Season,749,0.0,0
1,75,4815.0,136,10,1 Season,749,0.0,0
1,2805,4756.0,228,9,7 Season,120,0.01929260450160772,0
1,45,4756.0,950,6,3 Season,386,0.006430868167202573,0
0,2805,4756.0,23,1,87 min,595,0.27652733118971057,2
0,2805,4756.0,28,1,88 min,595,0.2797427652733119,2
0,47,4756.0,88,2,114 min,857,0.3633440514469453,2
0,3,4756.0,891,3,90 min,857,0.28617363344051444,2
0,73,4756.0,51,2,142 min,1597,0.4533762057877813,2
0,73,4756.0,152,1,90 min,595,0.28617363344051444,2
1,807,4756.0,950,10,1 Season,176,0.0,0
0,14,4756.0,39,3,105 min,857,0.33440514469453375,2
0,2805,4756.0,13,2,103 min,80,0.3279742765273312,2
0,2805,4756.0,1024,2,116 min,1597,0.3697749196141479,2
0,2805,4756.0,96,3,113 min,1597,0.360128617363344,2
1,807,4756.0,193,9,5 Season,67,0.012861736334405145,0
0,73,4756.0,88,3,99 min,1206,0.315112540192926,2
1,245,4756.0,348,9,6 Season,176,0.016077170418006433,0
0,807,4756.0,586,9,96 min,1597,0.3054662379421222,2
0,47,4756.0,193,2,148 min,857,0.47266881028938906,2
0,2805,4756.0,39,3,189 min,1597,0.6045016077170419,2
0,2805,4756.0,25,2,97 min,1206,0.30868167202572344,2
0,2805,4756.0,17,2,102 min,1597,0.3247588424437299,2
0,2805,4756.0,22,1,99 min,595,0.315112540192926,2
0,73,4756.0,554,1,85 min,595,0.270096463022508,2
0,2805,4756.0,136,3,112 min,857,0.35691318327974275,2
0,1,4756.0,152,1,91 min,595,0.28938906752411575,2
0,75,4756.0,1024,2,91 min,1206,0.28938906752411575,2
0,2805,4756.0,61,2,141 min,1597,0.45016077170418006,2
0,2805,4756.0,37,2,130 min,857,0.4147909967845659,2
0,17,4756.0,64,3,98 min,857,0.31189710610932475,2
0,8,4756.0,891,3,105 min,1206,0.33440514469453375,2
0,2805,4756.0,279,3,101 min,271,0.32154340836012857,2
0,2805,4756.0,17,3,105 min,857,0.33440514469453375,2
0,2805,4756.0,184,3,118 min,1597,0.37620578778135044,2
0,16,4756.0,193,2,97 min,857,0.30868167202572344,2
0,1,4756.0,64,3,102 min,1597,0.3247588424437299,2
0,2805,4756.0,25,2,114 min,65,0.3633440514469453,2
0,2805,4756.0,37,3,111 min,332,0.35369774919614144,2
0,2805,4756.0,193,2,125 min,1206,0.39871382636655944,2
1,2805,4960.0,586,9,3 Season,67,0.006430868167202573,0
0,807,4960.0,1141,9,76 min,1597,0.24115755627009647,2
0,807,4960.0,586,3,118 min,857,0.37620578778135044,2
1,807,4959.0,586,6,1 Season,386,0.0,0
0,1,4959.0,348,9,103 min,1597,0.3279742765273312,2
1,412,4959.0,586,9,3 Season,248,0.006430868167202573,0
0,807,4959.0,950,9,114 min,818,0.3633440514469453,2
1,807,4959.0,152,9,1 Season,749,0.0,0
1,807,4959.0,586,9,1 Season,248,0.0,0
1,2805,4959.0,586,10,2 Season,40,0.003215434083601286,0
0,807,4959.0,152,9,95 min,1597,0.3022508038585209,2
0,807,4959.0,586,10,138 min,857,0.4405144694533762,2
0,807,4959.0,586,10,112 min,857,0.35691318327974275,2
0,95,4958.0,279,8,94 min,1206,0.29903536977491957,2
0,807,4958.0,586,9,102 min,1206,0.3247588424437299,2
1,807,4958.0,586,6,1 Season,176,0.0,0
0,24,4957.0,586,10,92 min,857,0.292604501607717,2
0,2805,4957.0,1024,9,81 min,818,0.2572347266881029,2
1,807,4957.0,586,10,1 Season,120,0.0,0
1,2805,4957.0,586,9,7 Season,399,0.01929260450160772,0
1,807,4957.0,586,10,1 Season,399,0.0,0
1,2805,4956.0,586,9,3 Season,67,0.006430868167202573,0
0,968,4956.0,228,10,143 min,857,0.4565916398713826,2
0,807,4956.0,586,9,86 min,65,0.2733118971061093,2
1,67,4956.0,586,10,3 Season,399,0.006430868167202573,0
1,73,4956.0,586,5,4 Season,386,0.00964630225080386,0
0,807,4956.0,586,9,132 min,1206,0.42122186495176844,2
1,807,4956.0,586,10,1 Season,34,0.0,0
0,1,4956.0,1024,10,117 min,1597,0.3729903536977492,2
1,2805,4955.0,1024,10,10 Season,22,0.028938906752411574,0
1,45,4955.0,950,10,4 Season,749,0.00964630225080386,0
0,2805,4953.0,228,3,165 min,857,0.527331189710611,2
0,86,4952.0,586,1,91 min,595,0.28938906752411575,2
0,807,4952.0,586,10,97 min,1597,0.30868167202572344,2
0,807,4952.0,586,10,97 min,1206,0.30868167202572344,2
0,807,4952.0,586,10,123 min,857,0.3922829581993569,2
1,807,4952.0,586,10,1 Season,749,0.0,0
0,807,4952.0,586,10,94 min,271,0.29903536977491957,2
1,807,4952.0,586,8,1 Season,40,0.0,0
1,807,4952.0,586,8,1 Season,176,0.0,0
1,145,4952.0,586,10,2 Season,749,0.003215434083601286,0
0,412,4952.0,586,10,111 min,1597,0.35369774919614144,2
1,2805,4952.0,586,10,2 Season,220,0.003215434083601286,0
0,807,4951.0,586,10,85 min,818,0.270096463022508,2
0,807,4951.0,554,5,65 min,595,0.2057877813504823,2
0,807,4951.0,279,6,64 min,595,0.20257234726688103,2
0,807,4951.0,152,6,68 min,595,0.21543408360128619,2
0,807,4951.0,184,6,67 min,595,0.21221864951768488,2
0,807,4951.0,193,6,66 min,595,0.2090032154340836,2
0,968,4951.0,279,6,64 min,595,0.20257234726688103,2
0,807,4951.0,279,6,65 min,595,0.2057877813504823,2
0,807,4951.0,228,6,68 min,595,0.21543408360128619,2
0,968,4951.0,152,6,68 min,595,0.21543408360128619,2
0,807,4951.0,554,6,62 min,595,0.19614147909967847,2
0,807,4951.0,1024,5,63 min,595,0.19935691318327975,2
0,807,4951.0,193,6,69 min,595,0.21864951768488747,2
0,807,4951.0,228,6,70 min,595,0.22186495176848875,2
0,807,4951.0,348,6,63 min,595,0.19935691318327975,2
0,807,4951.0,184,6,68 min,595,0.21543408360128619,2
0,807,4951.0,184,6,74 min,595,0.2347266881028939,2
1,2805,4951.0,1024,9,5 Season,67,0.012861736334405145,0
0,12,4951.0,586,10,99 min,1597,0.315112540192926,2
0,807,4951.0,1024,9,90 min,1206,0.28617363344051444,2
0,807,4951.0,586,7,87 min,21,0.27652733118971057,2
0,95,4950.0,950,9,105 min,1597,0.33440514469453375,2
1,807,4950.0,586,9,1 Season,248,0.0,0
1,807,4950.0,586,10,1 Season,749,0.0,0
0,807,4950.0,586,6,106 min,595,0.337620578778135,2
0,2805,4949.0,950,10,102 min,1206,0.3247588424437299,2
1,56,4949.0,950,10,1 Season,22,0.0,0
1,807,4949.0,1024,10,1 Season,399,0.0,0
0,8,4948.0,586,9,91 min,1597,0.28938906752411575,2
0,2805,4946.0,586,3,88 min,857,0.2797427652733119,2
0,807,4945.0,950,8,107 min,1597,0.3408360128617363,2
0,60,4945.0,586,10,101 min,1597,0.32154340836012857,2
1,2805,4945.0,586,10,3 Season,220,0.006430868167202573,0
0,807,4945.0,586,3,114 min,271,0.3633440514469453,2
1,73,4945.0,586,6,1 Season,386,0.0,0
0,807,4945.0,39,3,123 min,1206,0.3922829581993569,2
1,807,4945.0,586,9,1 Season,220,0.0,0
0,2805,4945.0,1022,3,94 min,1597,0.29903536977491957,2
0,2805,4945.0,1022,2,105 min,1597,0.33440514469453375,2
0,2805,4945.0,184,2,117 min,1597,0.3729903536977492,2
0,2805,4945.0,228,2,115 min,1597,0.36655948553054657,2
0,2805,4945.0,193,2,124 min,1597,0.3954983922829582,2
0,2805,4945.0,152,2,131 min,1597,0.4180064308681672,2
0,2805,4945.0,136,2,122 min,857,0.3890675241157556,2
0,79,4944.0,586,8,113 min,1206,0.360128617363344,2
1,245,4944.0,586,10,2 Season,176,0.003215434083601286,0
0,807,4944.0,11,10,91 min,1206,0.28938906752411575,2
0,807,4944.0,586,10,100 min,818,0.3183279742765273,2
1,189,4944.0,1024,9,1 Season,749,0.0,0
0,1,4944.0,586,8,93 min,818,0.2958199356913183,2
0,807,4944.0,586,9,90 min,1597,0.28617363344051444,2
1,2805,4944.0,586,9,2 Season,120,0.003215434083601286,0
0,73,4944.0,88,1,86 min,595,0.2733118971061093,2
0,807,4944.0,1024,9,100 min,1206,0.3183279742765273,2
0,2805,4944.0,1024,10,96 min,818,0.3054662379421222,2
0,45,4943.0,586,10,95 min,271,0.3022508038585209,2
0,807,4943.0,586,3,115 min,857,0.36655948553054657,2
1,807,4943.0,586,10,1 Season,399,0.0,0
1,807,4943.0,586,10,1 Season,120,0.0,0
0,807,4943.0,586,10,100 min,818,0.3183279742765273,2
0,807,4943.0,586,10,102 min,1206,0.3247588424437299,2
0,73,4942.0,1024,10,87 min,1597,0.27652733118971057,2
0,807,4942.0,586,9,39 min,54,0.12218649517684887,2
0,807,4942.0,586,8,110 min,595,0.3504823151125402,2
1,2805,4942.0,586,5,1 Season,386,0.0,0
