show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int,duration_type,added_year,added_month
s1461,tv show,Monarca,Unknown,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza",Mexico,"January 1, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",2,seasons,2021,1
s2119,tv show,Glitch Techs,Unknown,"Ricardo Hurtado, Monica Ray, Luke Youngblood, Scott  Kreamer, Dan Milano, Gunnar Sizemore, Zehra Fazal, Sandeep Parikh",United States,"August 17, 2020",2020,TV-Y7,2 Seasons,Kids' TV,Two teens work at a game store as a front for their actual job: Hunting video game monsters who've broken out into the real world.,2,seasons,2020,8
s2509,tv show,Sweet Magnolias,Unknown,"JoAnna Garcia Swisher, Brooke Elliott, Heather Headley, Chris Klein, Justin Bruening, Logan Allen, Anneliese Judge, Carson Rowland, Jamie Lynn Spears, Dion Johnstone",United States,"May 19, 2020",2020,TV-14,1 Season,"Romantic TV Shows, TV Dramas","Lifelong friends Maddie, Helen and Dana Sue lift each other up as they juggle relationships, family and careers in the small, Southern town of Serenity.",1,seasons,2020,5
s2647,movie,My Stupid Boss,Upi Avianto,"Bunga Citra Lestari, Reza Rahadian, Alex Abbad, Bront Palarae, Chew Kin Wah, Atikah Suhaime, Iskandar Zulkarnain, Melissa Karim, Richard Oh, Ting Tan",Indonesia,"April 23, 2020",2016,TV-G,107 min,"Comedies, International Movies","After moving to Kuala Lumpur, Diana lands a secretary job at an ironworks owned by her husband's old college friend, possibly the world's worst boss.",107,minutes,2020,4
s505,tv show,The War Next-door,Unknown,"Vanessa Bauche, Ana Layevska, Mark Tacher, Pascacio López, Elyfer Torres, Armando Said, Christian Vazquez, Marco León, Loreto Peralta, Isabella Patrón, Sara Isabel Quintero, Cecilia de los Santos Vargas",Unknown,"July 7, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies","When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences.",1,seasons,2021,7
s2409,tv show,My Mister,Unknown,"Lee Sun-kyun, Lee Ji-eun (IU), Go Du-sim, Park Ho-san, Song Sae-byeok, Kim Young-min",South Korea,"June 10, 2020",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",1,seasons,2020,6
s2523,tv show,Inhuman Resources,Ziad Doueiri,"Eric Cantona, Suzanne Clément, Alex Lutz, Gustave Kervern, Alice de Lencquesaing, Louise Coldefy, Nicolas Martinez, Adama Niane",France,"May 15, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes he’s a pawn in a cruel corporate game.",1,seasons,2020,5
s910,movie,Milestone,Ivan Ayr,"Suvinder Vicky, Lakshvir Saran, Mohinder Gujral, Gurinder Makna, Daljeet Singh, Akhilesh Kumar, Gaurika Bhatt, Arun Aseng",India,"May 7, 2021",2021,TV-14,98 min,"Dramas, Independent Movies, International Movies","Recently marking 500,000 kilometers on the road, a newly bereaved trucker faces the threat of losing the job that has come to define him to a new intern.",98,minutes,2021,5
s1136,movie,Takers,John Luessenhop,"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",United States,"April 1, 2021",2010,PG-13,107 min,Action & Adventure,An elite crew of bank robbers sets up a daring heist after a former associate persuades them to target an armored car that could be their biggest score.,107,minutes,2021,4
s2209,movie,Dragons: Rescue Riders: Secrets of the Songwing,"Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Renée Elise Goldsberry",United States,"July 24, 2020",2020,TV-Y,46 min,"Children & Family Movies, Comedies","When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell.",46,minutes,2020,7
s44,movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,"September 16, 2021",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",98,minutes,2021,9
s185,tv show,Sparking Joy,Unknown,Marie Kondo,United States,"August 31, 2021",2021,TV-PG,1 Season,Reality TV,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.",1,seasons,2021,8
s904,movie,Nayattu,Martin Prakkat,"Kunchacko Boban, Joju George, Nimisha Sajayan, Jaffer Idukki, Yama Gilgamesh, Anil Nedumangad, Dineesh P, Vinod Sagar",India,"May 9, 2021",2021,TV-MA,122 min,"Dramas, International Movies, Thrillers",Three police officers become pawns for unscrupulous lawmakers when they are framed in an incident amid political elections and must flee to evade arrest.,122,minutes,2021,5
s369,tv show,Khawatir,Unknown,Unknown,Unknown,"July 30, 2021",2009,TV-14,1 Season,"International TV Shows, Reality TV",Saudi media personality Ahmad Al Shugairi travels around the world on a quest for knowledge in various cities while offering his personal reflections.,1,seasons,2021,7
s2410,tv show,Reality Z,Unknown,"Ana Hartmann, Sabrina Sato, Luellem de Castro, Guilherme Weber, Emílio de Mello, Ravel Andrade, João Pedro Zappa, Julia Ianina, Pierre Baitelli, Jesus Luz, Carla Ribas, Wallie Ruy, Gabriel Canella, Natália Rosa, Priscila Assum, Teca Pereira, Leandro Daniel, Hanna Romanazzi, Arlinda Di Baio, Erom Cordeiro, Enzo Romani",Brazil,"June 10, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Horror, TV Mysteries","With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes.",1,seasons,2020,6
s319,movie,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",Maximilian Schmidt,Unknown,"August 3, 2021",2021,TV-MA,97 min,"Documentaries, International Movies","\"Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series \"\"How to Sell Drugs Online (Fast).\"\"\"",97,minutes,2021,8
s1535,movie,Bwakaw,Jun Lana,"Eddie Garcia, Princess, Rez Cortez, Bibeth Orteza, Joey Paras, Allan Paule, Beverly Salviejo, Soxy Topacio, Armida Siguion-Reyna, Luz Valdez, Gardo Versoza","Philippines, Canada, United Kingdom, United States","December 16, 2020",2012,TV-MA,110 min,"Dramas, International Movies, LGBTQ Movies","Gruff and alone, retiree Rene rejects most human contact but begins to soften when he comes to terms with his homosexuality.",110,minutes,2020,12
s1619,tv show,Octonauts,Unknown,"Keith Wickham, Jo Wyatt, Ross Breen, Simon Greenall, Paul Panting, Rob Rackstraw, Teresa Gallagher, Shelley Longworth","United States, Ireland, United Kingdom, India","December 1, 2020",2015,TV-Y,4 Seasons,"British TV Shows, Kids' TV",A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance.,4,seasons,2020,12
s1789,movie,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,"Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski",Poland,"October 28, 2020",2020,TV-MA,103 min,"Horror Movies, International Movies","Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.",103,minutes,2020,10
s1905,movie,Carlos Almaraz: Playing with Fire,"Elsa Flores Almaraz, Richard J Montoya","Edward James Olmos, Zach De La Rocha",United States,"October 1, 2020",2019,TV-14,83 min,"Documentaries, LGBTQ Movies","Mixing archival footage with interviews, this film celebrates one of Los Angeles's most influential painters and Chicano art activists from the 1970s.",83,minutes,2020,10
s2354,movie,Chaman Bahaar,Apurva Dhar Badgaiyann,"Jitendra Kumar, Ritika Badiani, Yogendra Tikku, Bhuvan Arora, Alam Khan, Dhirendra Tiwari, Ashwani Kumar, Bhagwan Tiwari",India,"June 19, 2020",2020,TV-MA,112 min,"Comedies, Dramas, International Movies","A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken.",112,minutes,2020,6
s2550,movie,John Henry,Will Forbes,"Terry Crews, Ludacris, Jamila Velazquez, J.J. Soria, Ken Foree, Daffany Clark, Kimberly Hébert-Gregory, Tyler Alvarez",United States,"May 9, 2020",2020,R,92 min,"Dramas, Thrillers",A reformed LA gang member upends his peaceful new life when he steps in to protect two young immigrants from his violent former leader.,92,minutes,2020,5
s246,tv show,Korean Cold Noodle Rhapsody,Unknown,Paik Jong-won,Unknown,"August 20, 2021",2021,TV-PG,1 Season,"Docuseries, International TV Shows","Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved.",1,seasons,2021,8
s915,movie,Unrest,Jennifer Brea,"Jennifer Brea, Omar Wasow, Jessica Taylor-Bearman","United Kingdom, United States","May 7, 2021",2017,TV-MA,97 min,Documentaries,"In this heart-wrenching documentary, a 28-year-old Ph.D. student turns the camera on herself to capture her struggles with chronic fatigue syndrome.",97,minutes,2021,5
s2413,movie,365 Days,"Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska, Grażyna Szapołowska, Tomasz Stockinger, Gianni Parisi, Mateusz Łasowski",Poland,"June 7, 2020",2020,TV-MA,114 min,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",114,minutes,2020,6
s407,movie,Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",Unknown,"July 22, 2021",2013,TV-Y7,64 min,Children & Family Movies,"Things get spooky when Bheem and his buddies travel to the border of Dholakpur, known for its eerie history and rumored to be haunted.",64,minutes,2021,7
s1067,movie,The Soul,Cheng Wei-hao,"Chang Chen, Janine Chang, Christopher Lee, Anke Sun, Lin Hui-min, Samuel Ku, Zhang Bojia, Lu Hsueh-feng","China, Taiwan","April 14, 2021",2021,TV-MA,130 min,"Dramas, International Movies, Thrillers","While investigating the death of a businessman, a prosecutor and his wife uncover occult secrets as they face their own life-and-death dilemma.",130,minutes,2021,4
s1548,tv show,Teen Mom 2,Unknown,"Jenelle Evans, Chelsea Houska, Kailyn Lowry, Leah Messer",United States,"December 15, 2020",2011,TV-14,2 Seasons,Reality TV,"\"The highs and lows of new parenting and adulting create drama and heartbreak as life moves on for the cast of \"\"16 and Pregnant\"\" Season 2.\"",2,seasons,2020,12
s2527,tv show,She-Ra and the Princesses of Power,Unknown,"Aimee Carrero, AJ Michalka, Marcus Scribner, Karen Fukuhara, Reshma Shetty, Lorraine Toussaint, Keston John, Lauren Ash, Christine Woods, Morla Gorrondona, Antony Del Rio, Dana Davis, Grey Griffin, Genesis Rodriguez, Jordan Fisher, Vella Lovell, Merit Leighton, Sandra Oh, Krystal Joy Brown",United States,"May 15, 2020",2020,TV-Y7,5 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde.",5,seasons,2020,5
s1845,movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough",United States,"October 15, 2020",2020,TV-PG,99 min,Children & Family Movies,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",99,minutes,2020,10
s2511,movie,The Beach Loafer,Ali Ragab,"Ahmed Helmy, Yasmin Abdulaziz, Mahmoud Abdel Moghny, Lotfy Labib, Soad Nasr, Rico, Ahmed Rateb, Youssef Eid",Egypt,"May 19, 2020",2004,TV-14,112 min,"Comedies, International Movies","A wedding singer and his friends try to prove his innocence after he's accused of murder, a situation threatening his own marriage plans.",112,minutes,2020,5
s1085,tv show,Heaven Official's Blessing,Unknown,"Jiang Guangtao, Ma Zhengyang, Wen Sen, Hu Liangwei, Huang Ying",China,"April 9, 2021",2020,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods.",1,seasons,2021,4
s2475,movie,One Day We'll Talk About Today,Angga Dwimas Sasongko,"Rachel Amanda, Rio Dewanto, Shelia Dara, Donny Damara, Susan Bachtiar, Oka Antara, Niken Anjani, Ardhito Pramono",Indonesia,"May 23, 2020",2020,TV-G,128 min,"Dramas, International Movies","Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.",128,minutes,2020,5
s39,movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States","September 16, 2021",2017,PG-13,96 min,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",96,minutes,2021,9
s415,movie,Chhota Bheem Aur Hanuman,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",Unknown,"July 22, 2021",2012,TV-Y7,68 min,Children & Family Movies,"When two evil entities kidnap a princess in a plot to build a new kingdom, Bheem takes them on with the help of the courageous monkey god Hanuman.",68,minutes,2021,7
s1699,tv show,The Crown,Unknown,"Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser","United Kingdom, United States","November 15, 2020",2020,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Dramas",This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,4,seasons,2020,11
s2468,movie,I'm No Longer Here,Fernando Frías de la Parra,"Juan Daniel García, Angelina Chen, Jonathan Espinoza, Coral Puente, Tania Alvarado, Fanny Tovar, Luis Leonardo Zapata, Yahir Alday, Leonardo Garza, Yocelin Coronado, Deyanira Coronado","Mexico, United States","May 27, 2020",2019,TV-MA,112 min,"Dramas, Independent Movies, International Movies","A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life.",112,minutes,2020,5
s2561,movie,"Sí, Mi Amor",Pedro Flores Maldonado,"Yiddá Eslava, Julián Zucchi, Andrés Salas, Magdyel Ugaz, Pietro Sibille, Saskia Bernaola, Sebastián Monteghirfo, Mayra Olivera",Unknown,"May 6, 2020",2020,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating.,107,minutes,2020,5
s594,movie,Snow Day,Chris Koch,"Chris Elliott, Mark Webber, Jean Smart, Schuyler Fisk, Iggy Pop, Pam Grier, John Schneider, Chevy Chase, Zena Grey, Josh Peck",United States,"July 1, 2021",2000,PG,89 min,"Children & Family Movies, Comedies","When a snow day shuts down the whole town, the Wheeler family cuts loose. Hal makes a play for the most popular girl in his school, 10-year-old Natalie takes on the dreaded snowplow man, and Dad gets into a showdown with a rival meteorologist.",89,minutes,2021,7
