content_type,country,date_added,release_year,rating,genres,duration_int,duration_type
1,807,"September 7, 2021",1024,6,386,0.003215434083601286,0
0,2805,"September 7, 2021",586,10,818,0.25401929260450157,2
1,807,"September 6, 2021",586,9,220,0.0,0
0,807,"September 6, 2021",950,10,1597,0.3729903536977492,2
1,189,"September 6, 2021",891,5,386,0.003215434083601286,0
0,968,"September 5, 2021",1022,9,857,0.4083601286173633,2
1,2805,"September 5, 2021",586,7,386,0.012861736334405145,0
0,2805,"September 4, 2021",1141,0,595,0.28617363344051444,2
1,86,"September 3, 2021",586,7,386,0.0,0
1,145,"September 3, 2021",586,10,399,0.012861736334405145,0
1,807,"September 3, 2021",586,10,220,0.0,0
1,1,"September 3, 2021",586,5,386,0.0,0
0,807,"September 3, 2021",586,2,1597,0.37942122186495175,2
0,807,"September 2, 2021",586,8,1206,0.3504823151125402,2
0,968,"September 2, 2021",22,9,1597,0.4565916398713826,2
0,1,"September 2, 2021",152,1,1597,0.37942122186495175,2
0,968,"September 2, 2021",554,8,1206,0.3633440514469453,2
0,75,"September 2, 2021",586,2,818,0.29903536977491957,2
0,968,"September 2, 2021",1022,9,1597,0.337620578778135,2
0,807,"September 2, 2021",950,10,1597,0.315112540192926,2
1,86,"September 2, 2021",586,6,386,0.0,0
1,807,"September 2, 2021",1024,9,749,0.0,0
0,1,"September 2, 2021",61,3,65,0.37620578778135044,2
1,807,"September 2, 2021",228,6,386,0.0,0
1,189,"September 2, 2021",279,6,386,0.006430868167202573,0
1,2805,"September 2, 2021",586,10,399,0.0,0
0,968,"September 2, 2021",950,9,1597,0.36655948553054657,2
0,73,"September 1, 2021",64,1,595,0.3022508038585209,2
0,807,"September 1, 2021",1022,2,1597,0.36655948553054657,2
0,13,"September 1, 2021",80,2,1597,0.34405144694533757,2
0,807,"September 1, 2021",586,5,595,0.19935691318327975,2
0,2805,"September 1, 2021",17,3,857,0.3729903536977492,2
1,807,"September 1, 2021",586,10,749,0.0,0
0,4,"September 1, 2021",554,3,857,0.3858520900321543,2
0,14,"September 1, 2021",22,2,857,0.4533762057877813,2
0,1,"September 1, 2021",28,3,857,0.360128617363344,2
0,1,"September 1, 2021",61,3,1597,0.49196141479099675,2
0,13,"September 1, 2021",45,1,857,0.3022508038585209,2
0,2805,"September 1, 2021",193,2,1597,0.34405144694533757,2
0,2805,"September 1, 2021",16,3,80,0.382636655948553,2
0,1,"September 1, 2021",348,10,1597,0.3183279742765273,2
0,2,"September 1, 2021",554,3,857,0.26045016077170413,2
0,13,"September 1, 2021",88,2,1597,0.3954983922829582,2
0,2805,"September 1, 2021",184,2,857,0.3633440514469453,2
0,2805,"September 1, 2021",22,3,1206,0.33118971061093244,2
0,2805,"September 1, 2021",17,3,1206,0.29903536977491957,2
0,2805,"September 1, 2021",22,3,1206,0.29903536977491957,2
1,807,"September 1, 2021",586,8,120,0.0,0
1,807,"September 1, 2021",950,9,16,0.0,0
0,2805,"September 1, 2021",36,3,857,0.2958199356913183,2
0,2805,"September 1, 2021",39,3,65,0.30868167202572344,2
0,14,"September 1, 2021",80,9,857,0.3472668810289389,2
0,2805,"September 1, 2021",891,10,1206,0.2797427652733119,2
1,15,"September 1, 2021",891,5,386,0.003215434083601286,0
1,245,"September 1, 2021",554,10,176,0.006430868167202573,0
0,75,"September 1, 2021",13,1,857,0.32154340836012857,2
0,2805,"September 1, 2021",193,1,1206,0.33440514469453375,2
0,180,"September 1, 2021",1141,9,13,0.3247588424437299,2
0,2805,"September 1, 2021",61,2,1206,0.32154340836012857,2
0,53,"September 1, 2021",193,10,1206,0.3279742765273312,2
1,2805,"September 1, 2021",23,8,120,0.00964630225080386,0
0,2805,"September 1, 2021",24,2,1206,0.337620578778135,2
0,2,"September 1, 2021",1022,2,1597,0.37620578778135044,2
0,2805,"September 1, 2021",61,3,1206,0.2733118971061093,2
0,2805,"September 1, 2021",39,2,857,0.3858520900321543,2
1,807,"September 1, 2021",1024,10,399,0.0,0
0,4,"September 1, 2021",12,3,80,0.7331189710610932,2
0,73,"September 1, 2021",136,1,595,0.24115755627009647,2
0,2805,"September 1, 2021",45,1,857,0.3022508038585209,2
0,2805,"September 1, 2021",96,2,857,0.31189710610932475,2
0,2805,"September 1, 2021",38,3,818,0.28295819935691313,2
0,2805,"September 1, 2021",1022,2,1597,0.382636655948553,2
0,17,"September 1, 2021",61,2,1206,0.3504823151125402,2
0,2805,"September 1, 2021",554,2,818,0.26366559485530544,2
0,2805,"September 1, 2021",61,3,857,0.3858520900321543,2
0,2805,"September 1, 2021",11,3,1597,0.33440514469453375,2
0,2805,"September 1, 2021",13,2,857,0.29903536977491957,2
0,75,"September 1, 2021",1,9,857,0.4983922829581993,2
0,2805,"September 1, 2021",348,3,857,0.35691318327974275,2
0,2805,"September 1, 2021",24,2,1206,0.3022508038585209,2
0,807,"September 1, 2021",37,2,1206,0.3408360128617363,2
1,807,"September 1, 2021",586,9,220,0.0,0
0,2805,"September 1, 2021",136,2,1206,0.3633440514469453,2
0,2805,"August 31, 2021",28,3,857,0.4115755627009646,2
1,2805,"August 31, 2021",586,8,120,0.0,0
0,807,"August 31, 2021",586,10,818,0.2733118971061093,2
1,807,"August 29, 2021",586,9,749,0.0,0
1,807,"August 29, 2021",586,7,749,0.0,0
0,124,"August 28, 2021",136,10,1206,0.30868167202572344,2
1,807,"August 28, 2021",950,5,386,0.003215434083601286,0
0,968,"August 28, 2021",586,9,1597,0.39871382636655944,2
0,8,"August 28, 2021",1022,3,1597,0.3408360128617363,2
0,968,"August 27, 2021",136,9,857,0.405144694533762,2
1,1,"August 27, 2021",586,10,749,0.0,0
1,807,"August 27, 2021",51,10,749,0.0,0
0,968,"August 27, 2021",136,9,1206,0.4083601286173633,2
0,807,"August 27, 2021",586,9,1206,0.292604501607717,2
1,807,"August 27, 2021",586,6,386,0.0,0
1,95,"August 27, 2021",586,10,399,0.0,0
0,968,"August 27, 2021",96,9,1206,0.4308681672025723,2
0,968,"August 27, 2021",64,9,857,0.3954983922829582,2
0,968,"August 27, 2021",61,9,1597,0.4340836012861736,2
0,968,"August 27, 2021",80,10,1206,0.527331189710611,2
0,968,"August 27, 2021",891,10,1206,0.3954983922829582,2
0,968,"August 27, 2021",228,10,1206,0.4340836012861736,2
0,968,"August 27, 2021",45,9,1206,0.4790996784565916,2
0,968,"August 27, 2021",193,10,1597,0.35691318327974275,2
0,968,"August 27, 2021",136,9,857,0.37942122186495175,2
0,968,"August 27, 2021",193,9,1597,0.42443729903536975,2
0,968,"August 27, 2021",279,9,1597,0.4533762057877813,2
0,968,"August 27, 2021",184,10,271,0.2958199356913183,2
0,968,"August 27, 2021",348,10,271,0.360128617363344,2
1,10,"August 27, 2021",891,10,749,0.003215434083601286,0
1,807,"August 27, 2021",586,8,220,0.006430868167202573,0
0,807,"August 27, 2021",586,3,857,0.3954983922829582,2
0,968,"August 27, 2021",88,10,857,0.3697749196141479,2
0,968,"August 27, 2021",184,9,1206,0.337620578778135,2
0,968,"August 27, 2021",184,9,1206,0.4630225080385852,2
1,807,"August 27, 2021",586,9,120,0.0,0
1,245,"August 26, 2021",586,9,176,0.0,0
1,2805,"August 26, 2021",586,8,386,0.00964630225080386,0
0,807,"August 25, 2021",586,9,818,0.2958199356913183,2
1,807,"August 25, 2021",586,10,399,0.0,0
1,807,"August 25, 2021",586,10,399,0.0,0
1,807,"August 25, 2021",586,9,749,0.0,0
1,807,"August 25, 2021",586,10,749,0.0,0
1,807,"August 25, 2021",586,10,749,0.0,0
0,2805,"August 25, 2021",950,10,1597,0.3022508038585209,2
0,47,"August 25, 2021",348,3,857,0.34405144694533757,2
0,2805,"August 25, 2021",950,10,271,0.28617363344051444,2
0,807,"August 25, 2021",586,10,818,0.2733118971061093,2
0,2805,"August 25, 2021",586,1,595,0.292604501607717,2
1,2805,"August 25, 2021",1024,7,120,0.006430868167202573,0
0,412,"August 24, 2021",586,10,818,0.26045016077170413,2
1,807,"August 24, 2021",586,5,386,0.0,0
0,807,"August 24, 2021",586,8,818,0.22186495176848875,2
0,807,"August 23, 2021",586,9,271,0.3890675241157556,2
0,807,"August 23, 2021",586,10,857,0.26688102893890675,2
1,2805,"August 21, 2021",586,9,67,0.006430868167202573,0
1,807,"August 20, 2021",586,10,749,0.0,0
1,807,"August 20, 2021",586,10,749,0.0,0
0,807,"August 20, 2021",1141,9,1597,0.3054662379421222,2
1,807,"August 20, 2021",586,8,220,0.0,0
0,807,"August 20, 2021",586,10,1597,0.36655948553054657,2
0,2805,"August 20, 2021",586,3,857,0.3504823151125402,2
1,807,"August 20, 2021",586,10,120,0.0,0
0,807,"August 20, 2021",586,6,595,0.2797427652733119,2
0,807,"August 19, 2021",950,8,1597,0.3247588424437299,2
0,2805,"August 19, 2021",184,2,1597,0.28938906752411575,2
0,807,"August 18, 2021",586,10,128,0.33440514469453375,2
0,968,"August 18, 2021",25,9,1597,0.4308681672025723,2
1,2805,"August 18, 2021",586,5,386,0.012861736334405145,0
0,807,"August 18, 2021",586,10,818,0.2733118971061093,2
0,807,"August 18, 2021",950,9,1597,0.44694533762057875,2
0,807,"August 18, 2021",554,9,1597,0.42443729903536975,2
0,807,"August 18, 2021",950,10,1206,0.292604501607717,2
0,1,"August 18, 2021",1141,8,1206,0.26045016077170413,2
1,807,"August 18, 2021",950,10,399,0.0,0
0,807,"August 18, 2021",586,9,1206,0.30868167202572344,2
0,807,"August 18, 2021",586,10,818,0.24758842443729903,2
1,2805,"August 16, 2021",891,5,386,0.003215434083601286,0
0,2805,"August 16, 2021",348,3,1206,0.29903536977491957,2
1,245,"August 15, 2021",1141,9,176,0.0,0
1,968,"August 15, 2021",950,10,220,0.0,0
0,1,"August 15, 2021",28,3,80,0.3858520900321543,2
0,807,"August 15, 2021",950,10,1597,0.30868167202572344,2
1,45,"August 15, 2021",554,6,386,0.003215434083601286,0
0,1,"August 13, 2021",586,10,857,0.3504823151125402,2
1,2805,"August 13, 2021",586,10,67,0.0,0
1,2805,"August 13, 2021",586,6,386,0.012861736334405145,0
1,124,"August 13, 2021",586,10,399,0.0,0
1,2805,"August 13, 2021",586,10,120,0.01929260450160772,0
1,56,"August 13, 2021",586,10,399,0.0,0
1,145,"August 13, 2021",586,10,749,0.003215434083601286,0
1,2,"August 12, 2021",586,9,749,0.0,0
0,35,"August 12, 2021",586,10,332,0.20257234726688103,2
0,16,"August 12, 2021",586,8,857,0.1864951768488746,2
1,2805,"August 11, 2021",586,8,120,0.0,0
0,95,"August 11, 2021",891,9,1206,0.32154340836012857,2
0,110,"August 11, 2021",950,10,1597,0.405144694533762,2
0,1,"August 11, 2021",586,2,818,0.28617363344051444,2
0,75,"August 11, 2021",586,9,1206,0.3633440514469453,2
0,1,"August 11, 2021",279,3,1597,0.34405144694533757,2
1,2805,"August 10, 2021",586,5,386,0.003215434083601286,0
1,807,"August 10, 2021",586,9,749,0.0,0
1,35,"August 10, 2021",1141,10,399,0.0,0
1,189,"August 10, 2021",1024,9,749,0.0,0
0,2805,"August 10, 2021",586,10,818,0.22186495176848875,2
1,245,"August 9, 2021",586,9,176,0.0,0
0,412,"August 8, 2021",228,2,1206,0.31189710610932475,2
0,30,"August 8, 2021",586,10,1206,0.2733118971061093,2
0,807,"August 7, 2021",950,8,128,0.44372990353697744,2
0,2805,"August 7, 2021",586,2,857,0.35369774919614144,2
1,5,"August 6, 2021",586,10,40,0.0,0
1,968,"August 6, 2021",586,10,16,0.0,0
0,95,"August 6, 2021",950,10,1206,0.36655948553054657,2
0,124,"August 6, 2021",586,9,271,0.3247588424437299,2
0,45,"August 6, 2021",586,1,595,0.3183279742765273,2
0,968,"August 5, 2021",279,9,857,0.4308681672025723,2
0,77,"August 5, 2021",279,10,818,0.21864951768488747,2
0,56,"August 5, 2021",10,10,1206,0.3022508038585209,2
0,412,"August 5, 2021",586,9,818,0.30868167202572344,2
0,8,"August 5, 2021",28,10,80,0.3954983922829582,2
0,95,"August 4, 2021",891,8,1597,0.37620578778135044,2
0,2805,"August 4, 2021",586,10,271,0.36655948553054657,2
0,2805,"August 4, 2021",228,10,54,0.36655948553054657,2
1,807,"August 4, 2021",586,8,120,0.006430868167202573,0
1,2805,"August 4, 2021",586,10,399,0.0,0
1,110,"August 4, 2021",586,10,749,0.003215434083601286,0
1,2805,"August 4, 2021",586,10,120,0.0,0
1,75,"August 3, 2021",152,9,749,0.0,0
0,2805,"August 3, 2021",25,3,1597,0.33118971061093244,2
0,2,"August 3, 2021",193,10,1597,0.337620578778135,2
1,75,"August 3, 2021",184,9,749,0.0,0
0,2805,"August 3, 2021",586,2,818,0.3247588424437299,2
0,807,"August 3, 2021",586,10,818,0.30868167202572344,2
1,75,"August 3, 2021",80,9,749,0.0,0
1,807,"August 3, 2021",586,8,220,0.0,0
1,75,"August 3, 2021",279,9,749,0.0,0
1,75,"August 3, 2021",136,10,749,0.0,0
1,2805,"August 1, 2021",228,9,120,0.01929260450160772,0
1,45,"August 1, 2021",950,6,386,0.006430868167202573,0
0,2805,"August 1, 2021",23,1,595,0.27652733118971057,2
0,2805,"August 1, 2021",28,1,595,0.2797427652733119,2
0,47,"August 1, 2021",88,2,857,0.3633440514469453,2
0,3,"August 1, 2021",891,3,857,0.28617363344051444,2
0,73,"August 1, 2021",51,2,1597,0.4533762057877813,2
0,73,"August 1, 2021",152,1,595,0.28617363344051444,2
1,807,"August 1, 2021",950,10,176,0.0,0
0,14,"August 1, 2021",39,3,857,0.33440514469453375,2
0,2805,"August 1, 2021",13,2,80,0.3279742765273312,2
0,2805,"August 1, 2021",1024,2,1597,0.3697749196141479,2
0,2805,"August 1, 2021",96,3,1597,0.360128617363344,2
1,807,"August 1, 2021",193,9,67,0.012861736334405145,0
0,73,"August 1, 2021",88,3,1206,0.315112540192926,2
1,245,"August 1, 2021",348,9,176,0.016077170418006433,0
0,807,"August 1, 2021",586,9,1597,0.3054662379421222,2
0,47,"August 1, 2021",193,2,857,0.47266881028938906,2
0,2805,"August 1, 2021",39,3,1597,0.6045016077170419,2
0,2805,"August 1, 2021",25,2,1206,0.30868167202572344,2
0,2805,"August 1, 2021",17,2,1597,0.3247588424437299,2
0,2805,"August 1, 2021",22,1,595,0.315112540192926,2
0,73,"August 1, 2021",554,1,595,0.270096463022508,2
0,2805,"August 1, 2021",136,3,857,0.35691318327974275,2
0,1,"August 1, 2021",152,1,595,0.28938906752411575,2
0,75,"August 1, 2021",1024,2,1206,0.28938906752411575,2
0,2805,"August 1, 2021",61,2,1597,0.45016077170418006,2
0,2805,"August 1, 2021",37,2,857,0.4147909967845659,2
0,17,"August 1, 2021",64,3,857,0.31189710610932475,2
0,8,"August 1, 2021",891,3,1206,0.33440514469453375,2
0,2805,"August 1, 2021",279,3,271,0.32154340836012857,2
0,2805,"August 1, 2021",17,3,857,0.33440514469453375,2
0,2805,"August 1, 2021",184,3,1597,0.37620578778135044,2
0,16,"August 1, 2021",193,2,857,0.30868167202572344,2
0,1,"August 1, 2021",64,3,1597,0.3247588424437299,2
0,2805,"August 1, 2021",25,2,65,0.3633440514469453,2
0,2805,"August 1, 2021",37,3,332,0.35369774919614144,2
0,2805,"August 1, 2021",193,2,1206,0.39871382636655944,2
1,2805,"July 31, 2021",586,9,67,0.006430868167202573,0
0,807,"July 31, 2021",1141,9,1597,0.24115755627009647,2
0,807,"July 31, 2021",586,3,857,0.37620578778135044,2
1,807,"July 30, 2021",586,6,386,0.0,0
0,1,"July 30, 2021",348,9,1597,0.3279742765273312,2
1,412,"July 30, 2021",586,9,248,0.006430868167202573,0
0,807,"July 30, 2021",950,9,818,0.3633440514469453,2
1,807,"July 30, 2021",152,9,749,0.0,0
1,807,"July 30, 2021",586,9,248,0.0,0
1,2805,"July 30, 2021",586,10,40,0.003215434083601286,0
0,807,"July 30, 2021",152,9,1597,0.3022508038585209,2
0,807,"July 30, 2021",586,10,857,0.4405144694533762,2
0,807,"July 30, 2021",586,10,857,0.35691318327974275,2
0,95,"July 29, 2021",279,8,1206,0.29903536977491957,2
0,807,"July 29, 2021",586,9,1206,0.3247588424437299,2
1,807,"July 29, 2021",586,6,176,0.0,0
0,24,"July 28, 2021",586,10,857,0.292604501607717,2
0,2805,"July 28, 2021",1024,9,818,0.2572347266881029,2
1,807,"July 28, 2021",586,10,120,0.0,0
1,2805,"July 28, 2021",586,9,399,0.01929260450160772,0
1,807,"July 28, 2021",586,10,399,0.0,0
1,2805,"July 27, 2021",586,9,67,0.006430868167202573,0
0,968,"July 27, 2021",228,10,857,0.4565916398713826,2
0,807,"July 27, 2021",586,9,65,0.2733118971061093,2
1,67,"July 27, 2021",586,10,399,0.006430868167202573,0
1,73,"July 27, 2021",586,5,386,0.00964630225080386,0
0,807,"July 27, 2021",586,9,1206,0.42122186495176844,2
1,807,"July 27, 2021",586,10,34,0.0,0
0,1,"July 27, 2021",1024,10,1597,0.3729903536977492,2
1,2805,"July 26, 2021",1024,10,22,0.028938906752411574,0
1,45,"July 26, 2021",950,10,749,0.00964630225080386,0
0,2805,"July 24, 2021",228,3,857,0.527331189710611,2
0,86,"July 23, 2021",586,1,595,0.28938906752411575,2
0,807,"July 23, 2021",586,10,1597,0.30868167202572344,2
0,807,"July 23, 2021",586,10,1206,0.30868167202572344,2
0,807,"July 23, 2021",586,10,857,0.3922829581993569,2
1,807,"July 23, 2021",586,10,749,0.0,0
0,807,"July 23, 2021",586,10,271,0.29903536977491957,2
1,807,"July 23, 2021",586,8,40,0.0,0
1,807,"July 23, 2021",586,8,176,0.0,0
1,145,"July 23, 2021",586,10,749,0.003215434083601286,0
0,412,"July 23, 2021",586,10,1597,0.35369774919614144,2
1,2805,"July 23, 2021",586,10,220,0.003215434083601286,0
0,807,"July 22, 2021",586,10,818,0.270096463022508,2
0,807,"July 22, 2021",554,5,595,0.2057877813504823,2
0,807,"July 22, 2021",279,6,595,0.20257234726688103,2
0,807,"July 22, 2021",152,6,595,0.21543408360128619,2
0,807,"July 22, 2021",184,6,595,0.21221864951768488,2
0,807,"July 22, 2021",193,6,595,0.2090032154340836,2
0,968,"July 22, 2021",279,6,595,0.20257234726688103,2
0,807,"July 22, 2021",279,6,595,0.2057877813504823,2
0,807,"July 22, 2021",228,6,595,0.21543408360128619,2
0,968,"July 22, 2021",152,6,595,0.21543408360128619,2
0,807,"July 22, 2021",554,6,595,0.19614147909967847,2
0,807,"July 22, 2021",1024,5,595,0.19935691318327975,2
0,807,"July 22, 2021",193,6,595,0.21864951768488747,2
0,807,"July 22, 2021",228,6,595,0.22186495176848875,2
0,807,"July 22, 2021",348,6,595,0.19935691318327975,2
0,807,"July 22, 2021",184,6,595,0.21543408360128619,2
0,807,"July 22, 2021",184,6,595,0.2347266881028939,2
1,2805,"July 22, 2021",1024,9,67,0.012861736334405145,0
0,12,"July 22, 2021",586,10,1597,0.315112540192926,2
0,807,"July 22, 2021",1024,9,1206,0.28617363344051444,2
0,807,"July 22, 2021",586,7,21,0.27652733118971057,2
0,95,"July 21, 2021",950,9,1597,0.33440514469453375,2
1,807,"July 21, 2021",586,9,248,0.0,0
1,807,"July 21, 2021",586,10,749,0.0,0
0,807,"July 21, 2021",586,6,595,0.337620578778135,2
0,2805,"July 20, 2021",950,10,1206,0.3247588424437299,2
1,56,"July 20, 2021",950,10,22,0.0,0
1,807,"July 20, 2021",1024,10,399,0.0,0
0,8,"July 19, 2021",586,9,1597,0.28938906752411575,2
0,2805,"July 17, 2021",586,3,857,0.2797427652733119,2
0,807,"July 16, 2021",950,8,1597,0.3408360128617363,2
0,60,"July 16, 2021",586,10,1597,0.32154340836012857,2
1,2805,"July 16, 2021",586,10,220,0.006430868167202573,0
0,807,"July 16, 2021",586,3,271,0.3633440514469453,2
1,73,"July 16, 2021",586,6,386,0.0,0
0,807,"July 16, 2021",39,3,1206,0.3922829581993569,2
1,807,"July 16, 2021",586,9,220,0.0,0
0,2805,"July 16, 2021",1022,3,1597,0.29903536977491957,2
0,2805,"July 16, 2021",1022,2,1597,0.33440514469453375,2
0,2805,"July 16, 2021",184,2,1597,0.3729903536977492,2
0,2805,"July 16, 2021",228,2,1597,0.36655948553054657,2
0,2805,"July 16, 2021",193,2,1597,0.3954983922829582,2
0,2805,"July 16, 2021",152,2,1597,0.4180064308681672,2
0,2805,"July 16, 2021",136,2,857,0.3890675241157556,2
0,79,"July 15, 2021",586,8,1206,0.360128617363344,2
1,245,"July 15, 2021",586,10,176,0.003215434083601286,0
0,807,"July 15, 2021",11,10,1206,0.28938906752411575,2
0,807,"July 15, 2021",586,10,818,0.3183279742765273,2
1,189,"July 15, 2021",1024,9,749,0.0,0
0,1,"July 15, 2021",586,8,818,0.2958199356913183,2
0,807,"July 15, 2021",586,9,1597,0.28617363344051444,2
1,2805,"July 15, 2021",586,9,120,0.003215434083601286,0
0,73,"July 15, 2021",88,1,595,0.2733118971061093,2
0,807,"July 15, 2021",1024,9,1206,0.3183279742765273,2
0,2805,"July 15, 2021",1024,10,818,0.3054662379421222,2
0,45,"July 14, 2021",586,10,271,0.3022508038585209,2
0,807,"July 14, 2021",586,3,857,0.36655948553054657,2
1,807,"July 14, 2021",586,10,399,0.0,0
1,807,"July 14, 2021",586,10,120,0.0,0
0,807,"July 14, 2021",586,10,818,0.3183279742765273,2
0,807,"July 14, 2021",586,10,1206,0.3247588424437299,2
0,73,"July 13, 2021",1024,10,1597,0.27652733118971057,2
0,807,"July 13, 2021",586,9,54,0.12218649517684887,2
0,807,"July 13, 2021",586,8,595,0.3504823151125402,2
1,2805,"July 13, 2021",586,5,386,0.0,0
0,2805,"July 12, 2021",950,10,818,0.2958199356913183,2
0,1,"July 10, 2021",554,3,857,0.3054662379421222,2
0,807,"July 10, 2021",1024,10,332,0.2958199356913183,2
0,807,"July 10, 2021",891,10,1206,0.2958199356913183,2
1,2805,"July 9, 2021",586,9,120,0.00964630225080386,0
1,67,"July 9, 2021",586,10,749,0.003215434083601286,0
